REF                                                                                                                                                     TYPE                                                      DIGEST                                                                  SIZE      PLATFORMS                                                   LABELS                          
registry.jujucharms.com/kubeflow-charmers/argo-controller/oci-image@sha256:5366ed9a8520df09cea8abe55823794ed697306884b4a1268e96459c2cf52fe6             application/vnd.docker.distribution.manifest.v2+json      sha256:5366ed9a8520df09cea8abe55823794ed697306884b4a1268e96459c2cf52fe6 14.5 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/argo-ui/oci-image@sha256:e56844655eedce7d02e8133c6f8271b155bb336fa1930f9e28d1858be4ff64f2                     application/vnd.docker.distribution.manifest.v2+json      sha256:e56844655eedce7d02e8133c6f8271b155bb336fa1930f9e28d1858be4ff64f2 43.1 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/dex-auth/oci-image@sha256:8adce0d5afbf663a0125ca3dbca4ec4d293dd170587d2db4c686075b1ac9ebd3                    application/vnd.docker.distribution.manifest.v2+json      sha256:8adce0d5afbf663a0125ca3dbca4ec4d293dd170587d2db4c686075b1ac9ebd3 13.8 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/jupyter-controller/oci-image@sha256:b00f9238111a6cb426ab63f2fb8da16ae369dec3f73614bb13263239ccce15c7          application/vnd.docker.distribution.manifest.v2+json      sha256:b00f9238111a6cb426ab63f2fb8da16ae369dec3f73614bb13263239ccce15c7 24.4 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/jupyter-web/oci-image@sha256:259230422a02b1d071a63a27278707a319ac5f5002749b07c2377e02e9fbfc3d                 application/vnd.docker.distribution.manifest.v2+json      sha256:259230422a02b1d071a63a27278707a319ac5f5002749b07c2377e02e9fbfc3d 330.6 MiB linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/katib-controller/oci-image@sha256:7e4f4ab4353f33a5f98eafb8bbe60054b5e93273daeaa2017af10b38a373ce5a            application/vnd.docker.distribution.manifest.v2+json      sha256:7e4f4ab4353f33a5f98eafb8bbe60054b5e93273daeaa2017af10b38a373ce5a 20.6 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/katib-manager/oci-image@sha256:0431ac5b9fd80169c71f7a70cec8607118bbc82988d08d9eef99f8f628afc772               application/vnd.docker.distribution.manifest.v2+json      sha256:0431ac5b9fd80169c71f7a70cec8607118bbc82988d08d9eef99f8f628afc772 12.4 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/katib-ui/oci-image@sha256:783136045e37d4e71b21c1c14ef5739f9d8a997dae40a36d60a936d9545cd871                    application/vnd.docker.distribution.manifest.v2+json      sha256:783136045e37d4e71b21c1c14ef5739f9d8a997dae40a36d60a936d9545cd871 19.5 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/kubeflow-dashboard/oci-image@sha256:a0c80897704280fc3c1b6b89f8dbab27b7a9973747ca6c8faaa18579085ed57a          application/vnd.docker.distribution.manifest.v2+json      sha256:a0c80897704280fc3c1b6b89f8dbab27b7a9973747ca6c8faaa18579085ed57a 56.9 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/kubeflow-profiles/kfam-image@sha256:732ab00d8f6a5a46013e95977d0882701d8d4d3916816776990d381910ca560b          application/vnd.docker.distribution.manifest.v2+json      sha256:732ab00d8f6a5a46013e95977d0882701d8d4d3916816776990d381910ca560b 20.3 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/kubeflow-profiles/profile-image@sha256:4ff713579bac7471af88aed7a27b8c37b4ff203cc7f9b213359236bb7312da30       application/vnd.docker.distribution.manifest.v2+json      sha256:4ff713579bac7471af88aed7a27b8c37b4ff203cc7f9b213359236bb7312da30 26.9 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/metacontroller/oci-image@sha256:6db16cd0f02fee08641c8f0e7f687be7ec5de9a53ae098d3085fb66b500acded              application/vnd.docker.distribution.manifest.v2+json      sha256:6db16cd0f02fee08641c8f0e7f687be7ec5de9a53ae098d3085fb66b500acded 32.7 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/metadata-api/oci-image@sha256:7bc212e15546e5f6d2ae5c5c5723c71d1679e50edf40a25731fe8eac79a338c2                application/vnd.docker.distribution.manifest.v2+json      sha256:7bc212e15546e5f6d2ae5c5c5723c71d1679e50edf40a25731fe8eac79a338c2 1.7 GiB   linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/metadata-envoy/oci-image@sha256:34a6b3339934464fdfa59d9b4abb4097bb00f5e0633159cdfc30a03450c5f7fd              application/vnd.docker.distribution.manifest.v2+json      sha256:34a6b3339934464fdfa59d9b4abb4097bb00f5e0633159cdfc30a03450c5f7fd 87.8 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/metadata-grpc/oci-image@sha256:fa5e6982d453130b5226a96dfe3636a4ede004dc063511b3926d39c2b6cf25b5               application/vnd.docker.distribution.manifest.v2+json      sha256:fa5e6982d453130b5226a96dfe3636a4ede004dc063511b3926d39c2b6cf25b5 29.2 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
registry.jujucharms.com/kubeflow-charmers/metadata-ui/oci-image@sha256:9c2b346d124460be9e52c96509cba94978a654e76fa8126274114758eb8a8de8                 application/vnd.docker.distribution.manifest.v2+json      sha256:9c2b346d124460be9e52c96509cba94978a654e76fa8126274114758eb8a8de8 35.3 MiB  linux/amd64                                                 io.cri-containerd.image=managed 
